Item #,Description,Bottle Size,Vintage,Vendor,Case Size,Pack Qty,Unit Price,Pack Price,Case Price,Current Inventory On Hand,Item Unit Cost,Item Case Cost,UPC data
14338,1800 TEQUILA COCONUT,1L,,JJJA,6,1,36.99,0,0,8,28.4917,170.95,811538010382
4099,1800 TEQUILA COCONUT,750ML,,JJJA,12,1,35.99,0,0,10,28.3,339.6,811538010375
14338,1800 TEQUILA COCONUT,1L,,JJJA,6,1,36.99,0,0,8,28.4917,170.95,811538010382
6952,1800 TEQUILA REPOSADO,750ML,,AL,12,1,36.99,0,0,10,30.8292,369.95,811538010238
10602,1800 TEQUILA REPOSADO,1.75L,,JJJA,6,1,59.99,0,0,7,48.6833,292.1,811538010252
10602,1800 TEQUILA REPOSADO,1.75L,,JJJA,6,1,59.99,0,0,7,48.6833,292.1,811538010252
3893,1800 TEQUILA REPOSADO,1L,,AL,6,1,38.99,0,0,5,29.9917,179.95,811538010245
6952,1800 TEQUILA REPOSADO,750ML,,AL,12,1,36.99,0,0,10,30.8292,369.95,818844022627
6952,1800 TEQUILA REPOSADO,750ML,,AL,12,1,36.99,0,0,10,30.8292,369.95,2105922750
9792,1800 TEQUILA REPOSADO,200ML,,ALAL,24,1,12.29,0,0,13,8.04,192.96,811538010108
7159,1800 TEQUILA REPOSADO,375ML,,AL,12,1,17.99,0,0,15,10.4825,125.79,811538010221
7159,1800 TEQUILA REPOSADO,375ML,,AL,12,1,17.99,0,0,15,10.3533,124.24,811538010221
14933,1800 ULTIMATE MARGARITA,1.75L,,ALAL,6,1,22.29,0,0,9,16.39,98.34,818844023143
14932,1800 ULTIMATE MARGARITA BLACK CHERRY,1.75L,,ALAL,6,1,22.29,0,0,0,16.39,98.34,818844021415
14934,1800 ULTIMATE MARGARITA STRAWBERRY,1.75L,,ALAL,6,1,22.29,0,0,6,16.6483,99.89,818844022771
14522,1921 TEQUILA CREAM,750ML,,RERR,6,1,31.99,0,0,0,24.09,144.54,608604000497
13608,-196 GRAPEFRUIT,355ML,,ALAL,24,4,0,11.19,59.99,40,1.97,47.28,80686007579
13609,-196 LEMON 4 PACK,355ML,,ALAL,24,4,0,11.19,59.99,108,2.12,50.88,80686004578
13609,-196 LEMON 4 PACK,355ML,,ALAL,24,4,0,11.19,59.99,108,1.97,47.28,80686004578
13609,-196 LEMON 4 PACK,355ML,,ALAL,24,4,0,11.19,59.99,108,1.4375,34.5,80686004578
13610,-196 PEACH 4 PK,355ML,,ALAL,24,4,0,11.19,59.99,56,1.97,47.28,80686007616
15302,-196 STRAWBERRY 4 PK,355ML,,ALAL,24,4,0,11.19,59.99,12,1.97,47.28,80686009092
13611,-196 VARIETY 8PK,355ML,,ALAL,24,8,0,21.99,56.99,232,2.0417,49,80686007630
13611,-196 VARIETY 8PK,355ML,,ALAL,24,8,0,21.99,56.99,232,2.0417,49,80686009269
15984,-196 VARIETY CRUSH 8PK,355ML,,ALAL,24,8,0,21.99,56.99,48,2.04,49,80686010357
12107,19 CRIMES BANISHMENT,750ML,,ALAL,12,1,12.49,0,0,3,8.79,105.48,12354001688
15895,19 CRIMES CABERNET SAUVIGNON,1.5L,,ALAL,6,1,17.99,0,0,2,12.66,75.96,12354012516
13093,19 CRIMES CABERNET SAUVIGNON,750ML,,ALAL,12,1,12.49,0,0,6,9.09,109.08,12354001350
1816,19 CRIMES CALI RED SNOOP DOGG,750ML,,ALAL,12,1,16.99,0,0,4,11.09,133.08,12354004290
12374,19 CRIMES HARD CHARD,750ML,,ALAL,12,1,12.49,0,0,7,9.09,109.08,012354001947
15751,19 CRIMES MONSTER CABERNET FRANKENSTEIN,750ML,,ALAL,12,1,12.99,0,0,15,9.09,109.08,12354014121
15752,19 CRIMES MONSTER CHARDONNAY MUMMY,750ML,,ALAL,12,1,12.99,0,0,23,9.09,109.08,12354019768
14379,19 CRIMES MONSTER RED BLEND BRIDE OF FRA,750ML,,ALAL,12,1,12.99,0,0,6,9.09,109.08,12354014114
13528,19 CRIMES PUNISHER PN,750ML,,ALAL,12,1,12.49,0,0,13,9.09,109.08,89819721443
13528,19 CRIMES PUNISHER PN,750ML,,ALAL,12,1,12.49,0,0,13,8.79,105.48,89819721443
12187,19 CRIMES RED WINE,750ML,,ALAL,12,1,12.49,0,0,12,8.79,105.48,12354000995
12139,19 CRIMES UPRISING,750ML,,ALAL,12,1,12.49,0,0,0,8.79,105.48,12354001930
4539,21 SEEDS TEQ CUCUMBER/JALAPENO,750ML,,JJJA,6,1,37.99,0,0,4,29.5,177,88076188808
4539,21 SEEDS TEQ CUCUMBER/JALAPENO,750ML,,JJJA,6,1,37.99,0,0,4,29.5,177,850003519005
15299,21ST AMEND HELL OR HIGH WATERMEL 12PK,12OZ,,REMARKABLE,24,12,0,18.99,35.99,0,1.2833,30.8,859612001130
15365,21ST AMEND HELL OR HIGH WATERMEL 6PK,12OZ,,REMARKABLE,24,1,0,9.99,35.99,0,1.15,27.68,859612001000
14733,21ST AMENDMENT BLOOD ORANGE 6PK CAN,12OZ,,REMARKABLE,24,6,0,10.99,0,0,1.3229,31.75,859612001314
14734,21ST AMENDMENT HELL OR HIGH TWILIGHT 6PK,12OZ,,REMARKABLE,24,6,0,10.99,0,0,1.3646,32.75,859612001024
14497,21ST AMENDMENT PUMPKIN HAZE IPA 6PK,12OZ,,REMARKABLE,24,6,0,13.99,0,0,1.6667,40,859612001536
3056,2PC CORKSCREW  PLASTIC,NONE,,,25,1,1.99,0,0,42,1.078,26.95,24291110200
3056,2PC CORKSCREW  PLASTIC,NONE,,,25,1,1.99,0,0,42,1.078,26.95,24291150183
3056,2PC CORKSCREW  PLASTIC,NONE,,,25,1,1.99,0,0,42,0.72,18,24291110200
3056,2PC CORKSCREW  PLASTIC,NONE,,,25,1,1.99,0,0,42,0.72,18,24291150183
14416,360 VODKA 80,750ML,,ALAL,12,1,16.49,0,0,9,11.995,143.94,85592133756
14417,360 VODKA DOUBLE CHOCOLATE,750ML,,ALAL,12,1,16.49,0,0,0,11.995,143.94,85592138553
14230,44 NORTH HUCKLEBERRY VODKA,750ML,,RERR,12,1,32.99,0,0,0,25.39,304.68,833597009633
14915,75 CABERNET SAUVIGNON,750ML,,ABAB,12,1,19.99,0,0,0,14.6667,176,892026001006
13133,7 MOONS DARK SIDE RED BLEND,750ML,,FYFY,12,1,14.99,0,0,12,10.66,127.92,430940
13133,7 MOONS DARK SIDE RED BLEND,750ML,,FYFY,12,1,14.99,0,0,12,10.66,127.92,86003261006
13133,7 MOONS DARK SIDE RED BLEND,750ML,,FYFY,12,1,14.99,0,0,12,10.66,127.92,86003261020
13133,7 MOONS DARK SIDE RED BLEND,750ML,,FYFY,12,1,14.99,0,0,12,10.66,127.92,83120014997
